# CID HOST_LOGMASS HOST_LOGMASS_ERR
PSc480144 8.7860 1.8240
PSc490203 11.4030 0.0160
PSc510129 11.3720 0.2440
PSc520021 10.4440 0.3040
PSc530100 9.4550 0.2065
PSc560152 11.4160 0.0560
PSc000268 9.5230 0.3260
PSc010430 12.0700 0.1940
PSc040313 9.7910 0.1055
PSc180344 10.1660 0.3090
PSc340014 11.1970 0.1155
PSc350288 9.4450 0.6465
PSc370575 11.0850 0.4125
PSc380358 10.7020 0.3360
PSc460065 10.5050 0.1855
PSc520022 -99.0000 0.0000
PSc540272 9.4550 0.5450
PSc080252 9.5150 0.2110
PSc120151 11.4950 0.1795
PSc170178 10.7790 0.1070
PSc320123 11.4010 0.0115
PSc360112 9.3810 0.2180
PSc390476 11.6780 0.1620
PSc080257 11.4100 0.0070
PSc160016 10.5760 0.2535
PSc180372 9.6180 0.1385
PSc300225 11.2540 0.1920
PSc370066 9.8310 0.0640
PSc390479 11.3600 0.0560
PSc460067 11.4890 0.1865
PSc480631 10.6970 0.0610
PSc500120 10.2250 0.3935
PSc530105 10.4140 0.3190
PSc530593 10.9240 0.0700
PSc050656 10.3900 0.2605
PSc140320 9.9180 0.1235
PSc200050 9.9070 0.9945
PSc300226 11.2160 0.2340
PSc370075 9.6580 0.2480
PSc380378 10.3640 0.3175
PSc390484 10.5650 0.3380
PSc480635 9.2380 0.4605
PSc520031 9.9410 0.4855
PSc530107 10.3080 0.2470
PSc540284 9.9280 0.0940
PSc040343 10.8980 0.0220
PSc070264 9.8790 0.3850
PSc080261 7.9790 0.8585
PSc140325 11.4330 0.0135
PSc200058 9.3950 0.6725
PSc320180 10.6370 0.1125
PSc370081 10.0280 0.2095
PSc380379 11.6370 0.0630
PSc390485 11.4020 0.1160
PSc540291 10.4990 0.2650
PSc020026 10.8240 0.0410
PSc370084 9.0770 58.4200
PSc400202 9.5430 0.3800
PSc440616 11.1480 0.0350
PSc510147 10.4120 0.8460
PSc530112 10.6780 0.1275
PSc000345 11.4440 0.3930
PSc050665 11.6360 0.2105
PSc130145 10.0830 0.4105
PSc160021 9.8700 0.1320
PSc360123 10.6700 0.1705
PSc380381 9.9580 0.2565
PSc400204 11.3270 0.0120
PSc440619 10.9920 0.1740
PSc460082 11.0320 0.0855
PSc480643 9.3660 0.5775
PSc500138 7.6770 0.9705
PSc520041 10.6720 0.4405
PSc530115 11.7550 0.0510
PSc580263 10.4060 0.2790
PSc000349 11.1980 0.2760
PSc090551 11.1420 0.0675
PSc130150 11.3300 0.0810
PSc180417 11.4890 0.0130
PSc200080 10.9450 0.4310
PSc350319 10.7490 0.3015
PSc370096 9.2460 0.2450
PSc390505 9.9410 0.3650
PSc460091 11.5450 0.3050
PSc480644 10.9710 0.1690
PSc520047 9.4700 0.5150
PSc580264 9.3890 0.1460
PSc040377 9.7500 0.4670
PSc050669 11.5790 0.0350
PSc070293 11.8250 0.0655
PSc310009 11.6560 0.3550
PSc340069 10.2680 0.1270
PSc360125 10.7180 0.1220
PSc370098 10.4910 0.0900
